Angle,Illuminance
0,234
2,229
3,218
4,206
5,199
6,189
7,182
8,176
9,169
10,164
11,160
12,153
13,146
14,142
15,139
16,135
17,129
18,125
19,122
20,118
21,116
22,113
23,110
24,106
25,103
26,101
27,98
28,96
29,94
30,92
31,90
32,88
33,86
35,84
36,82
37,81
38,80
39,78
41,77
42,76
43,74
44,73
46,72
48,70
50,68
52,66
53,65
55,64
56,63
57,62
59,61
61,60
62,59
63,58
64,59
65,58
67,57
69,56
70,57
71,56
72,57
73,56
77,55
79,56
80,55
82,54
86,53
87,54
88,53
91,52
92,53
93,52
94,53
95,52
96,53
97,54
99,53
100,54
101,56
104,57
106,56
110,57
112,58
114,59
116,60
119,62
121,63
125,65
128,66
129,67
130,66
132,67
133,68
136,68
137,71
138,72
139,73
140,75
141,76
142,77
143,78
145,81
146,84
148,86
149,89
150,90
151,91
152,94
153,96
154,99
155,100
156,102
157,106
158,110
159,114
160,115
161,118
162,121
163,127
164,130
165,138
166,142
167,150
168,157
169,164
170,165
175,165
176,156
177,152
178,149
179,136
180,128
181,121
182,120
183,112
184,110
185,107
186,104
187,100
188,97
189,94
190,93
191,92
192,88
194,86
195,85
196,83
197,82
198,81
199,79
200,77
203,73
206,72
208,71
209,69
210,68
212,67
213,68
214,67
215,66
218,65
221,63
224,61
225,60
228,59
229,60
233,59
234,58
235,56
241,55
245,54
246,53
252,52
253,53
254,52
255,53
256,52
258,53
260,54
261,53
262,54
265,55
270,56
271,55
272,56
276,57
277,56
278,57
279,58
281,59
282,58
283,59
284,60
285,61
287,63
288,65
290,67
292,69
294,71
296,72
297,73
299,74
301,76
302,77
303,78
304,80
305,81
306,83
307,84
308,85
309,87
310,89
312,92
313,94
314,95
315,99
316,101
317,104
318,106
319,108
320,113
321,116
322,118
323,120
324,124
325,129
326,134
327,140
328,144
329,148
330,152
331,158
332,164
333,169
334,178
335,184
336,188
337,195
338,203
339,210
340,222
341,230
344,230
345,219
346,204
347,197
348,191
349,184
350,178
351,172
352,165
353,159
354,153
355,146
356,143
357,139
358,135
359,130
360,127
361,123
362,119
363,116
364,112
365,109
366,107
367,105
368,102
369,99
370,97
371,94
372,93
373,91
374,89
375,87
376,85
378,84
379,82
380,81
381,79
382,78
384,76
385,75
386,74
388,72
390,71
391,70
392,69
393,68
394,67
396,65
398,64
399,62
402,61
403,60
405,59
408,58
412,57
415,56
417,57
418,56
419,57
422,56
424,55
428,54
430,55
431,54
432,53
433,54
436,55
441,56
442,57
444,56
447,57
450,58
452,59
454,60
456,61
458,62
463,63
464,65
465,66
470,67
471,68
475,68
478,71
480,71
482,74
483,76
484,77
485,78
486,80
488,86
489,88
490,89
492,93
494,96
496,99
497,103
498,105
499,108
500,112
501,118
502,120
503,125
504,127
505,135
506,140
507,144
508,150
509,153
510,166
511,170
512,179
515,173
516,159
517,155
518,151
519,138
520,130
521,125
522,119
523,115
524,111
525,108
526,103
528,99
529,97
530,94
531,92
533,88
534,85
535,84
536,83
537,82
539,79
540,78
541,77
543,76
544,75
545,73
548,72
549,70
552,69
553,68
556,67
559,66
564,65
565,64
566,63
567,62
569,61
571,60
572,61
573,60
575,59
576,60
577,59
578,58
579,57
581,56
582,57
583,56
584,57
586,58
587,57
588,56
589,55
590,54
591,53
598,54
599,53
602,54
606,55
608,56
610,55
611,56
613,57
614,56
617,57
618,58
619,57
621,58
623,59
624,58
625,59
628,59
629,61
631,62
632,63
633,64
634,65
635,66
636,67
637,68
638,70
639,72
640,73
643,75
645,76
646,77
647,79
649,81
650,82
652,85
653,86
654,87
655,89
656,90
657,91
658,94
659,96
660,98
661,100
662,102
663,106
664,109
665,111
666,114
667,117
668,120
669,122
670,127
671,131
672,135
673,142
674,145
675,149
676,155
677,160
678,167
679,173
680,180
